account_id,transaction_id,date,transaction_type,amount,description
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,e87e485a-915a-4f12-a796-69673185b6a9,2024-04-09,Transfer,3401.15,Grow officer community hand peace.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,0a12b84d-c57f-42e0-987d-abcdffc5e787,2024-01-11,Purchase,62.82,Explain country door write.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,27c05b75-5f4b-4546-8ef7-6e11cb9099ae,2024-03-31,Purchase,656.37,Again poor that off popular speak sign quickly.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,5def70e6-d682-45a8-b223-e10bbfec8988,2024-03-24,Withdrawal,3960.72,Section trade yourself newspaper thank just family people.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,b1c38c56-f832-4bbb-ab4e-42a0d3699428,2024-01-20,Withdrawal,2237.88,Final admit artist on color until consider.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,045d4f74-fa13-4067-b152-45b1f7cd388a,2024-02-04,Withdrawal,1446.08,Minute your national claim author community.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,db4905c7-b84b-4c24-a7a8-89e57e1c49bf,2024-01-16,Transfer,4331.2,Rule add couple such court.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,5d9235ba-b4ca-4999-b19e-1a9925b3cd3f,2024-02-05,Deposit,1160.2,Its outside customer reveal use.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,578707ef-db56-44ee-83aa-49ddf19cc355,2024-05-08,Deposit,1222.6,Any senior decision prove attention stop hair.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,f541d8ea-ca22-4ed5-bf16-7e9a558f51de,2024-03-28,Withdrawal,2916.73,From believe also girl.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,d5e2c855-4eb5-4d5c-8b2f-659610af8b82,2024-02-08,Withdrawal,1212.26,Miss Mr rich dream really eat.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,5b0b3630-7c2a-480c-b7de-8a46e05b23ef,2024-03-09,Deposit,4151.03,Better reflect at finally better.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,443300f7-64e8-4978-b0fe-5cce78499ea1,2024-03-06,Payment,4611.14,Public government population imagine.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,1986f6a6-8d27-437f-ad49-09bbd4efaacc,2024-04-20,Transfer,2950.16,Receive event somebody least.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,08d2016e-1356-44a3-a555-6b767371ae02,2024-01-16,Purchase,1716.67,Drug truth past threat by former.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,1d842550-c97b-4a70-80c2-8ca1e588cd17,2024-02-14,Payment,671.94,Conference in between popular hour.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,5c1d2759-d3d8-4b4e-9123-1bded9bcfb3a,2024-03-24,Deposit,4220.17,Mention also campaign reveal series audience.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,d0924cd0-9bd3-40ba-a317-4e1894ccca21,2024-03-03,Purchase,1703.94,War probably deal share offer.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,af90cf0c-a43b-4612-ad9b-05685e6a8ba3,2024-01-27,Transfer,4850.95,West well friend give for per.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,9f7edec1-e0b7-4d1e-89c7-c1387637989c,2024-02-01,Payment,2304.82,Break mention wish.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,65e34b27-b1d6-48be-8f2b-67d86fafe486,2024-03-01,Deposit,3489.51,Later way child nature administration.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,42d72083-bdd7-4049-9966-3ab15b0fed45,2024-05-11,Withdrawal,1649.49,Cause couple mother.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,ba26d15e-5fc5-47a6-969f-413cf761d22f,2024-03-11,Payment,2790.95,Task water public reality interest add according.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,27bc7cfd-0b30-433f-b3d1-69322c6d6f3d,2024-03-03,Deposit,3113.98,Let policy really tell great she term.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,951ac993-cdc1-406a-a21d-a55575e18b22,2024-02-08,Payment,2536.65,Indeed appear personal strategy list because space everything.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,e7ddd813-783e-4c10-bb40-95c025be977d,2024-04-02,Deposit,2382.57,Former situation letter avoid.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,68c4b23c-ac3b-4447-9ba8-adfbb21534f7,2024-04-26,Deposit,3849.04,Consumer simply candidate itself simply little.
4f1ca328-493b-4a81-a6dd-13c2cf14d19b,e00e2b2b-403e-45e9-a374-81dbae3c9ef4,2024-04-22,Transfer,496.47,Model improve begin ball.
